Level,Exp Required,HP,Attack,Defense
1,100,275,453,299
2,250,278,462,304
3,550,280,470,308
4,1001,283,479,313
5,1604,286,489,318
6,3604,289,498,323
7,7004,292,508,328
8,11856,294,517,333
9,18230,297,527,338
10,48230,300,537,344
11,93430,303,548,349
12,156680,306,558,354
13,240980,309,569,360
14,349480,312,580,365
15,593560,315,591,371
16,859315,318,602,377
17,1147597,321,613,383
18,1459266,325,625,389
19,1794459,328,637,395
20,2154045,331,649,401
21,2538168,334,662,407
22,2947707,338,675,413
23,3382810,341,687,420
24,3843628,344,701,426
25,4331053,348,714,433
26,4845240,351,728,440
27,5387092,354,742,447
28,5956770,358,756,454
29,6555187,361,770,461
30,7182511,365,785,468
31,7838909,369,800,475
32,8525308,372,816,482
33,9241882,376,831,490
34,9988806,379,847,498
35,10766256,383,863,505
36,11575175,387,880,513
37,12416513,391,897,521
38,13289687,395,914,529
39,14195653,398,932,537
40,15134601,402,949,546
41,16107498,406,968,554
42,17113759,410,986,563
43,18154359,414,1005,572
44,19230280,418,1024,581
45,20340937,422,1044,590
46,21487318,427,1064,599
47,22669628,431,1084,608
48,23888867,435,1105,617
49,25144449,439,1127,627
50,26437380,444,1148,637
51,27767873,448,1170,647
52,29136946,452,1193,657
53,30544819,457,1216,667
54,31990903,461,1239,677
55,33477038,466,1263,688
56,35002637,470,1287,698
57,36568740,475,1312,709
58,38174758,480,1337,720
59,39821737,484,1362,732
60,41510732,489,1389,743
61,43241155,494,1415,754
62,45014067,499,1442,766
63,46829708,504,1470,778
64,48688319,509,1498,790
65,50590140,514,1527,802
66,52536254,519,1557,815
67,54526908,524,1586,828
68,56562353,529,1617,840
69,58642839,534,1648,853
70,60768619,539,1680,867
71,62940796,544,1712,880
72,65159631,550,1745,894
73,67425383,555,1778,908
74,69738314,561,1812,922
75,72098687,566,1847,936
76,74507630,572,1883,951
77,76965413,577,1919,965
78,79472307,583,1956,980
79,82028585,589,1993,996
80,84634521,594,2032,1011
81,87291267,600,2071,1027
82,89998224,606,2111,1043
83,92756553,612,2151,1059
84,95566537,618,2192,1075
85,98428462,624,2235,1092
86,101343504,630,2278,1109
87,104311063,636,2321,1126
88,107332324,643,2366,1144
89,110407582,649,2411,1161
90,113537135,655,2458,1179
91,116721280,662,2505,1198
92,119961223,668,2553,1216
93,123256361,675,2602,1235
94,126607909,681,2652,1254
95,130016175,688,2703,1274
96,133481469,695,2755,1294
97,137004103,702,2808,1314
98,140584390,709,2862,1334
99,144223570,716,2917,1355
100,147921964,723,2973,1376
101,151678962,730,3030,1397
102,155495818,737,3089,1419
103,159373794,744,3148,1441
104,163312283,751,3209,1463
105,167311613,759,3270,1486
106,171373058,766,3333,1509
107,175496956,774,3397,1533
108,179682694,781,3463,1556
109,183932513,789,3529,1581
110,188245804,797,3597,1605
111,192622909,804,3666,1630
112,197064172,812,3737,1655
113,201570905,820,3808,1681
114,206143460,828,3882,1707
115,210782191,836,3956,1734
116,215487455,845,4032,1760
117,220259609,853,4110,1788
118,225099012,861,4189,1816
119,230007007,870,4270,1844
120,234982977,878,4352,1872
121,240028274,887,4435,1901
122,245143270,896,4521,1931
123,250328337,904,4608,1961
124,255583850,913,4696,1991
125,260910184,922,4787,2022
126,266308722,931,4879,2054
127,271778841,940,4972,2085
128,277321933,950,5068,2118
129,282938386,959,5166,2151
130,288628590,968,5265,2184
131,294392938,978,5366,2218
132,300231823,987,5469,2252
133,306145640,997,5575,2287
134,312135815,1007,5682,2323
135,318201721,1017,5791,2359
136,324344793,1027,5902,2395
137,330565440,1037,6016,2433
138,336864072,1047,6132,2470
139,343241100,1057,6250,2509
140,349696939,1068,6370,2548
141,356232004,1078,6492,2587
142,362847765,1089,6617,2627
143,369543591,1099,6745,2668
144,376320963,1110,6874,2709
145,383180310,1121,7007,2751
146,390122063,1132,7141,2794
147,397146654,1143,7279,2838
148,404254518,1154,7419,2882
149,411446092,1166,7562,2926
150,418722892,1177,7707,2972
151,426084283,1189,7855,3018
152,433531792,1200,8006,3065
153,441064782,1212,8160,3112
154,448684790,1224,8317,3160
155,456392270,1236,8477,3210
156,464187679,1248,8640,3259
157,472071474,1260,8807,3310
158,480045221,1273,8976,3361
159,488108281,1285,9149,3413
160,496262229,1298,9325,3466
161,504506423,1310,9504,3520
162,512842449,1323,9687,3575
163,521270784,1336,9873,3630
164,529791907,1349,10063,3687
165,538406299,1363,10257,3744
166,547114443,1376,10454,3802
167,555917959,1389,10655,3861
168,564816202,1403,10860,3921
169,573810803,1417,11069,3982
170,582901115,1431,11282,4043
171,592088780,1445,11499,4106
172,601374301,1459,11721,4170
173,610758182,1473,11946,4234
174,620240929,1488,12176,4300
175,629823051,1502,12410,4367
176,639505060,1517,12649,4435
177,649288638,1532,12892,4503
178,659173134,1547,13141,4573
179,669160242,1562,13393,4644
180,679249308,1577,13651,4716
181,689442039,1593,13914,4789
182,699738965,1608,14181,4864
183,710140620,1624,14454,4939
184,720647540,1640,14732,5016
185,731260262,1656,15016,5094
186,741980529,1672,15305,5173
187,752807685,1689,15599,5253
188,763742275,1705,15899,5334
189,774786058,1722,16205,5417
190,785939592,1739,16517,5501
191,797203435,1756,16835,5587
192,808576926,1773,17159,5673
193,820061848,1791,17489,5761
194,831658767,1808,17826,5851
195,843369487,1826,18169,5941
196,855193347,1844,18518,6034
197,867130921,1862,18874,6127
198,879184031,1880,19238,6222
199,891352013,1899,19608,6319
200,903636701,1917,19985,6417
