Level,Exp Required,HP,Attack,Defense
1,100,280,454,301
2,250,283,463,306
3,550,286,471,310
4,1001,288,480,315
5,1604,291,490,320
6,3604,294,499,325
7,7004,297,509,330
8,11856,300,518,335
9,18230,303,528,340
10,48230,306,538,346
11,93430,309,549,351
12,156680,312,559,356
13,240980,315,570,362
14,349480,318,581,367
15,593560,321,592,373
16,859315,324,603,379
17,1147597,327,614,385
18,1459266,331,626,391
19,1794459,334,638,397
20,2154045,337,650,403
21,2538168,340,663,409
22,2947707,344,676,415
23,3382810,347,688,422
24,3843628,350,702,428
25,4331053,354,715,435
26,4845240,357,729,442
27,5387092,361,743,449
28,5956770,364,757,456
29,6555187,368,771,463
30,7182511,372,786,470
31,7838909,375,801,477
32,8525308,379,817,484
33,9241882,383,832,492
34,9988806,386,848,500
35,10766256,390,864,507
36,11575175,394,881,515
37,12416513,398,898,523
38,13289687,402,915,531
39,14195653,406,933,539
40,15134601,410,950,548
41,16107498,414,969,556
42,17113759,418,987,565
43,18154359,422,1006,574
44,19230280,426,1025,583
45,20340937,430,1045,592
46,21487318,434,1065,601
47,22669628,439,1085,610
48,23888867,443,1106,619
49,25144449,447,1128,629
50,26437380,452,1149,639
51,27767873,456,1171,649
52,29136946,461,1194,659
53,30544819,465,1217,669
54,31990903,470,1240,679
55,33477038,474,1264,690
56,35002637,479,1288,700
57,36568740,484,1313,711
58,38174758,488,1338,722
59,39821737,493,1363,734
60,41510732,498,1390,745
61,43241155,503,1416,756
62,45014067,508,1443,768
63,46829708,513,1471,780
64,48688319,518,1499,792
65,50590140,523,1528,804
66,52536254,528,1558,817
67,54526908,533,1587,830
68,56562353,538,1618,842
69,58642839,544,1649,855
70,60768619,549,1681,869
71,62940796,554,1713,882
72,65159631,560,1746,896
73,67425383,565,1779,910
74,69738314,571,1813,924
75,72098687,576,1848,938
76,74507630,582,1884,953
77,76965413,588,1920,967
78,79472307,594,1957,982
79,82028585,599,1994,998
80,84634521,605,2033,1013
81,87291267,611,2072,1029
82,89998224,617,2112,1045
83,92756553,623,2152,1061
84,95566537,629,2193,1077
85,98428462,636,2236,1094
86,101343504,642,2279,1111
87,104311063,648,2322,1128
88,107332324,654,2367,1146
89,110407582,661,2412,1163
90,113537135,667,2459,1181
91,116721280,674,2506,1200
92,119961223,680,2554,1218
93,123256361,687,2603,1237
94,126607909,694,2653,1256
95,130016175,701,2704,1276
96,133481469,708,2756,1296
97,137004103,714,2809,1316
98,140584390,721,2863,1336
99,144223570,729,2918,1357
100,147921964,736,2974,1378
101,151678962,743,3031,1399
102,155495818,750,3090,1421
103,159373794,758,3149,1443
104,163312283,765,3210,1465
105,167311613,772,3271,1488
106,171373058,780,3334,1511
107,175496956,788,3398,1535
108,179682694,795,3464,1558
109,183932513,803,3530,1583
110,188245804,811,3598,1607
111,192622909,819,3667,1632
112,197064172,827,3738,1657
113,201570905,835,3809,1683
114,206143460,843,3883,1709
115,210782191,852,3957,1736
116,215487455,860,4033,1762
117,220259609,868,4111,1790
118,225099012,877,4190,1818
119,230007007,886,4271,1846
120,234982977,894,4353,1874
121,240028274,903,4436,1903
122,245143270,912,4522,1933
123,250328337,921,4609,1963
124,255583850,930,4697,1993
125,260910184,939,4788,2024
126,266308722,948,4880,2056
127,271778841,957,4973,2087
128,277321933,967,5069,2120
129,282938386,976,5167,2153
130,288628590,986,5266,2186
131,294392938,996,5367,2220
132,300231823,1005,5470,2254
133,306145640,1015,5576,2289
134,312135815,1025,5683,2325
135,318201721,1035,5792,2361
136,324344793,1045,5903,2397
137,330565440,1056,6017,2435
138,336864072,1066,6133,2472
139,343241100,1076,6251,2511
140,349696939,1087,6371,2550
141,356232004,1098,6493,2589
142,362847765,1108,6618,2629
143,369543591,1119,6746,2670
144,376320963,1130,6875,2711
145,383180310,1141,7008,2753
146,390122063,1153,7142,2796
147,397146654,1164,7280,2840
148,404254518,1175,7420,2884
149,411446092,1187,7563,2928
150,418722892,1198,7708,2974
151,426084283,1210,7856,3020
152,433531792,1222,8007,3067
153,441064782,1234,8161,3114
154,448684790,1246,8318,3162
155,456392270,1258,8478,3212
156,464187679,1271,8641,3261
157,472071474,1283,8808,3312
158,480045221,1296,8977,3363
159,488108281,1308,9150,3415
160,496262229,1321,9326,3468
161,504506423,1334,9505,3522
162,512842449,1347,9688,3577
163,521270784,1360,9874,3632
164,529791907,1374,10064,3689
165,538406299,1387,10258,3746
166,547114443,1401,10455,3804
167,555917959,1415,10656,3863
168,564816202,1429,10861,3923
169,573810803,1443,11070,3984
170,582901115,1457,11283,4045
171,592088780,1471,11500,4108
172,601374301,1485,11722,4172
173,610758182,1500,11947,4236
174,620240929,1515,12177,4302
175,629823051,1529,12411,4369
176,639505060,1544,12650,4437
177,649288638,1560,12893,4505
178,659173134,1575,13142,4575
179,669160242,1590,13394,4646
180,679249308,1606,13652,4718
181,689442039,1622,13915,4791
182,699738965,1638,14182,4866
183,710140620,1654,14455,4941
184,720647540,1670,14733,5018
185,731260262,1686,15017,5096
186,741980529,1703,15306,5175
187,752807685,1719,15600,5255
188,763742275,1736,15900,5336
189,774786058,1753,16206,5419
190,785939592,1771,16518,5503
191,797203435,1788,16836,5589
192,808576926,1805,17160,5675
193,820061848,1823,17490,5763
194,831658767,1841,17827,5853
195,843369487,1859,18170,5943
196,855193347,1877,18519,6036
197,867130921,1896,18875,6129
198,879184031,1914,19239,6224
199,891352013,1933,19609,6321
200,903636701,1952,19986,6419
