Level,Exp Required,HP,Attack,Defense
1,100,235,453,296
2,250,237,462,301
3,550,240,470,305
4,1001,242,479,310
5,1604,244,489,315
6,3604,247,498,320
7,7004,249,508,325
8,11856,252,517,330
9,18230,254,527,335
10,48230,257,537,341
11,93430,259,548,346
12,156680,262,558,351
13,240980,264,569,357
14,349480,267,580,362
15,593560,269,591,368
16,859315,272,602,374
17,1147597,275,613,380
18,1459266,277,625,386
19,1794459,280,637,392
20,2154045,283,649,398
21,2538168,286,662,404
22,2947707,288,675,410
23,3382810,291,687,417
24,3843628,294,701,423
25,4331053,297,714,430
26,4845240,300,728,437
27,5387092,303,742,444
28,5956770,306,756,451
29,6555187,309,770,458
30,7182511,312,785,465
31,7838909,315,800,472
32,8525308,318,816,479
33,9241882,321,831,487
34,9988806,324,847,495
35,10766256,327,863,502
36,11575175,331,880,510
37,12416513,334,897,518
38,13289687,337,914,526
39,14195653,340,932,534
40,15134601,344,949,543
41,16107498,347,968,551
42,17113759,351,986,560
43,18154359,354,1005,569
44,19230280,358,1024,578
45,20340937,361,1044,587
46,21487318,365,1064,596
47,22669628,368,1084,605
48,23888867,372,1105,614
49,25144449,375,1127,624
50,26437380,379,1148,634
51,27767873,383,1170,644
52,29136946,387,1193,654
53,30544819,390,1216,664
54,31990903,394,1239,674
55,33477038,398,1263,685
56,35002637,402,1287,695
57,36568740,406,1312,706
58,38174758,410,1337,717
59,39821737,414,1362,729
60,41510732,418,1389,740
61,43241155,422,1415,751
62,45014067,426,1442,763
63,46829708,430,1470,775
64,48688319,435,1498,787
65,50590140,439,1527,799
66,52536254,443,1557,812
67,54526908,447,1586,825
68,56562353,452,1617,837
69,58642839,456,1648,850
70,60768619,461,1680,864
71,62940796,465,1712,877
72,65159631,470,1745,891
73,67425383,474,1778,905
74,69738314,479,1812,919
75,72098687,484,1847,933
76,74507630,489,1883,948
77,76965413,493,1919,962
78,79472307,498,1956,977
79,82028585,503,1993,993
80,84634521,508,2032,1008
81,87291267,513,2071,1024
82,89998224,518,2111,1040
83,92756553,523,2151,1056
84,95566537,528,2192,1072
85,98428462,533,2235,1089
86,101343504,539,2278,1106
87,104311063,544,2321,1123
88,107332324,549,2366,1141
89,110407582,555,2411,1158
90,113537135,560,2458,1176
91,116721280,566,2505,1195
92,119961223,571,2553,1213
93,123256361,577,2602,1232
94,126607909,582,2652,1251
95,130016175,588,2703,1271
96,133481469,594,2755,1291
97,137004103,600,2808,1311
98,140584390,606,2862,1331
99,144223570,611,2917,1352
100,147921964,617,2973,1373
101,151678962,624,3030,1394
102,155495818,630,3089,1416
103,159373794,636,3148,1438
104,163312283,642,3209,1460
105,167311613,648,3270,1483
106,171373058,655,3333,1506
107,175496956,661,3397,1530
108,179682694,668,3463,1553
109,183932513,674,3529,1578
110,188245804,681,3597,1602
111,192622909,687,3666,1627
112,197064172,694,3737,1652
113,201570905,701,3808,1678
114,206143460,708,3882,1704
115,210782191,715,3956,1731
116,215487455,722,4032,1757
117,220259609,729,4110,1785
118,225099012,736,4189,1813
119,230007007,743,4270,1841
120,234982977,751,4352,1869
121,240028274,758,4435,1898
122,245143270,765,4521,1928
123,250328337,773,4608,1958
124,255583850,780,4696,1988
125,260910184,788,4787,2019
126,266308722,796,4879,2051
127,271778841,804,4972,2082
128,277321933,811,5068,2115
129,282938386,819,5166,2148
130,288628590,827,5265,2181
131,294392938,836,5366,2215
132,300231823,844,5469,2249
133,306145640,852,5575,2284
134,312135815,860,5682,2320
135,318201721,869,5791,2356
136,324344793,877,5902,2392
137,330565440,886,6016,2430
138,336864072,895,6132,2467
139,343241100,903,6250,2506
140,349696939,912,6370,2545
141,356232004,921,6492,2584
142,362847765,930,6617,2624
143,369543591,939,6745,2665
144,376320963,949,6874,2706
145,383180310,958,7007,2748
146,390122063,967,7141,2791
147,397146654,977,7279,2835
148,404254518,986,7419,2879
149,411446092,996,7562,2923
150,418722892,1006,7707,2969
151,426084283,1016,7855,3015
152,433531792,1026,8006,3062
153,441064782,1036,8160,3109
154,448684790,1046,8317,3157
155,456392270,1056,8477,3207
156,464187679,1066,8640,3256
157,472071474,1077,8807,3307
158,480045221,1087,8976,3358
159,488108281,1098,9149,3410
160,496262229,1109,9325,3463
161,504506423,1120,9504,3517
162,512842449,1131,9687,3572
163,521270784,1142,9873,3627
164,529791907,1153,10063,3684
165,538406299,1164,10257,3741
166,547114443,1176,10454,3799
167,555917959,1187,10655,3858
168,564816202,1199,10860,3918
169,573810803,1211,11069,3979
170,582901115,1223,11282,4040
171,592088780,1235,11499,4103
172,601374301,1247,11721,4167
173,610758182,1259,11946,4231
174,620240929,1271,12176,4297
175,629823051,1284,12410,4364
176,639505060,1296,12649,4432
177,649288638,1309,12892,4500
178,659173134,1322,13141,4570
179,669160242,1335,13393,4641
180,679249308,1348,13651,4713
181,689442039,1361,13914,4786
182,699738965,1374,14181,4861
183,710140620,1388,14454,4936
184,720647540,1402,14732,5013
185,731260262,1415,15016,5091
186,741980529,1429,15305,5170
187,752807685,1443,15599,5250
188,763742275,1457,15899,5331
189,774786058,1472,16205,5414
190,785939592,1486,16517,5498
191,797203435,1501,16835,5584
192,808576926,1515,17159,5670
193,820061848,1530,17489,5758
194,831658767,1545,17826,5848
195,843369487,1560,18169,5938
196,855193347,1576,18518,6031
197,867130921,1591,18874,6124
198,879184031,1607,19238,6219
199,891352013,1622,19608,6316
200,903636701,1638,19985,6414
