Level,Exp Required,HP,Attack,Defense
1,100,250,451,297
2,250,252,460,302
3,550,255,468,306
4,1001,257,477,311
5,1604,260,487,316
6,3604,263,496,321
7,7004,265,506,326
8,11856,268,515,331
9,18230,270,525,336
10,48230,273,535,342
11,93430,276,546,347
12,156680,278,556,352
13,240980,281,567,358
14,349480,284,578,363
15,593560,287,589,369
16,859315,289,600,375
17,1147597,292,611,381
18,1459266,295,623,387
19,1794459,298,635,393
20,2154045,301,647,399
21,2538168,304,660,405
22,2947707,307,673,411
23,3382810,310,685,418
24,3843628,313,699,424
25,4331053,316,712,431
26,4845240,319,726,438
27,5387092,322,740,445
28,5956770,325,754,452
29,6555187,329,768,459
30,7182511,332,783,466
31,7838909,335,798,473
32,8525308,338,814,480
33,9241882,342,829,488
34,9988806,345,845,496
35,10766256,348,861,503
36,11575175,352,878,511
37,12416513,355,895,519
38,13289687,359,912,527
39,14195653,362,930,535
40,15134601,366,947,544
41,16107498,369,966,552
42,17113759,373,984,561
43,18154359,377,1003,570
44,19230280,380,1022,579
45,20340937,384,1042,588
46,21487318,388,1062,597
47,22669628,392,1082,606
48,23888867,395,1103,615
49,25144449,399,1125,625
50,26437380,403,1146,635
51,27767873,407,1168,645
52,29136946,411,1191,655
53,30544819,415,1214,665
54,31990903,419,1237,675
55,33477038,423,1261,686
56,35002637,428,1285,696
57,36568740,432,1310,707
58,38174758,436,1335,718
59,39821737,440,1360,730
60,41510732,445,1387,741
61,43241155,449,1413,752
62,45014067,453,1440,764
63,46829708,458,1468,776
64,48688319,462,1496,788
65,50590140,467,1525,800
66,52536254,471,1555,813
67,54526908,476,1584,826
68,56562353,481,1615,838
69,58642839,485,1646,851
70,60768619,490,1678,865
71,62940796,495,1710,878
72,65159631,500,1743,892
73,67425383,505,1776,906
74,69738314,510,1810,920
75,72098687,515,1845,934
76,74507630,520,1881,949
77,76965413,525,1917,963
78,79472307,530,1954,978
79,82028585,535,1991,994
80,84634521,540,2030,1009
81,87291267,546,2069,1025
82,89998224,551,2109,1041
83,92756553,556,2149,1057
84,95566537,562,2190,1073
85,98428462,567,2233,1090
86,101343504,573,2276,1107
87,104311063,579,2319,1124
88,107332324,584,2364,1142
89,110407582,590,2409,1159
90,113537135,596,2456,1177
91,116721280,602,2503,1196
92,119961223,608,2551,1214
93,123256361,614,2600,1233
94,126607909,620,2650,1252
95,130016175,626,2701,1272
96,133481469,632,2753,1292
97,137004103,638,2806,1312
98,140584390,644,2860,1332
99,144223570,651,2915,1353
100,147921964,657,2971,1374
101,151678962,663,3028,1395
102,155495818,670,3087,1417
103,159373794,676,3146,1439
104,163312283,683,3207,1461
105,167311613,690,3268,1484
106,171373058,696,3331,1507
107,175496956,703,3395,1531
108,179682694,710,3461,1554
109,183932513,717,3527,1579
110,188245804,724,3595,1603
111,192622909,731,3664,1628
112,197064172,738,3735,1653
113,201570905,746,3806,1679
114,206143460,753,3880,1705
115,210782191,760,3954,1732
116,215487455,768,4030,1758
117,220259609,775,4108,1786
118,225099012,783,4187,1814
119,230007007,791,4268,1842
120,234982977,798,4350,1870
121,240028274,806,4433,1899
122,245143270,814,4519,1929
123,250328337,822,4606,1959
124,255583850,830,4694,1989
125,260910184,838,4785,2020
126,266308722,847,4877,2052
127,271778841,855,4970,2083
128,277321933,863,5066,2116
129,282938386,872,5164,2149
130,288628590,880,5263,2182
131,294392938,889,5364,2216
132,300231823,898,5467,2250
133,306145640,906,5573,2285
134,312135815,915,5680,2321
135,318201721,924,5789,2357
136,324344793,933,5900,2393
137,330565440,943,6014,2431
138,336864072,952,6130,2468
139,343241100,961,6248,2507
140,349696939,971,6368,2546
141,356232004,980,6490,2585
142,362847765,990,6615,2625
143,369543591,999,6743,2666
144,376320963,1009,6872,2707
145,383180310,1019,7005,2749
146,390122063,1029,7139,2792
147,397146654,1039,7277,2836
148,404254518,1049,7417,2880
149,411446092,1060,7560,2924
150,418722892,1070,7705,2970
151,426084283,1080,7853,3016
152,433531792,1091,8004,3063
153,441064782,1102,8158,3110
154,448684790,1113,8315,3158
155,456392270,1123,8475,3208
156,464187679,1135,8638,3257
157,472071474,1146,8805,3308
158,480045221,1157,8974,3359
159,488108281,1168,9147,3411
160,496262229,1180,9323,3464
161,504506423,1191,9502,3518
162,512842449,1203,9685,3573
163,521270784,1215,9871,3628
164,529791907,1227,10061,3685
165,538406299,1239,10255,3742
166,547114443,1251,10452,3800
167,555917959,1263,10653,3859
168,564816202,1275,10858,3919
169,573810803,1288,11067,3980
170,582901115,1301,11280,4041
171,592088780,1313,11497,4104
172,601374301,1326,11719,4168
173,610758182,1339,11944,4232
174,620240929,1352,12174,4298
175,629823051,1366,12408,4365
176,639505060,1379,12647,4433
177,649288638,1393,12890,4501
178,659173134,1406,13139,4571
179,669160242,1420,13391,4642
180,679249308,1434,13649,4714
181,689442039,1448,13912,4787
182,699738965,1462,14179,4862
183,710140620,1476,14452,4937
184,720647540,1491,14730,5014
185,731260262,1506,15014,5092
186,741980529,1520,15303,5171
187,752807685,1535,15597,5251
188,763742275,1550,15897,5332
189,774786058,1566,16203,5415
190,785939592,1581,16515,5499
191,797203435,1596,16833,5585
192,808576926,1612,17157,5671
193,820061848,1628,17487,5759
194,831658767,1644,17824,5849
195,843369487,1660,18167,5939
196,855193347,1676,18516,6032
197,867130921,1693,18872,6125
198,879184031,1709,19236,6220
199,891352013,1726,19606,6317
200,903636701,1743,19983,6415
