Level,Exp Required,HP,Attack,Defense
1,100,300,450,304
2,250,303,459,309
3,550,306,467,313
4,1001,309,476,318
5,1604,312,486,323
6,3604,315,495,328
7,7004,318,505,333
8,11856,321,514,338
9,18230,324,524,343
10,48230,328,534,349
11,93430,331,545,354
12,156680,334,555,359
13,240980,337,566,365
14,349480,341,577,370
15,593560,344,588,376
16,859315,347,599,382
17,1147597,351,610,388
18,1459266,354,622,394
19,1794459,358,634,400
20,2154045,361,646,406
21,2538168,365,659,412
22,2947707,368,672,418
23,3382810,372,684,425
24,3843628,375,698,431
25,4331053,379,711,438
26,4845240,383,725,445
27,5387092,387,739,452
28,5956770,390,753,459
29,6555187,394,767,466
30,7182511,398,782,473
31,7838909,402,797,480
32,8525308,406,813,487
33,9241882,410,828,495
34,9988806,414,844,503
35,10766256,418,860,510
36,11575175,422,877,518
37,12416513,426,894,526
38,13289687,430,911,534
39,14195653,435,929,542
40,15134601,439,946,551
41,16107498,443,965,559
42,17113759,448,983,568
43,18154359,452,1002,577
44,19230280,456,1021,586
45,20340937,461,1041,595
46,21487318,465,1061,604
47,22669628,470,1081,613
48,23888867,475,1102,622
49,25144449,479,1124,632
50,26437380,484,1145,642
51,27767873,489,1167,652
52,29136946,493,1190,662
53,30544819,498,1213,672
54,31990903,503,1236,682
55,33477038,508,1260,693
56,35002637,513,1284,703
57,36568740,518,1309,714
58,38174758,523,1334,725
59,39821737,528,1359,737
60,41510732,534,1386,748
61,43241155,539,1412,759
62,45014067,544,1439,771
63,46829708,549,1467,783
64,48688319,555,1495,795
65,50590140,560,1524,807
66,52536254,566,1554,820
67,54526908,571,1583,833
68,56562353,577,1614,845
69,58642839,582,1645,858
70,60768619,588,1677,872
71,62940796,594,1709,885
72,65159631,600,1742,899
73,67425383,606,1775,913
74,69738314,612,1809,927
75,72098687,618,1844,941
76,74507630,624,1880,956
77,76965413,630,1916,970
78,79472307,636,1953,985
79,82028585,642,1990,1001
80,84634521,649,2029,1016
81,87291267,655,2068,1032
82,89998224,661,2108,1048
83,92756553,668,2148,1064
84,95566537,674,2189,1080
85,98428462,681,2232,1097
86,101343504,688,2275,1114
87,104311063,694,2318,1131
88,107332324,701,2363,1149
89,110407582,708,2408,1166
90,113537135,715,2455,1184
91,116721280,722,2502,1203
92,119961223,729,2550,1221
93,123256361,736,2599,1240
94,126607909,743,2649,1259
95,130016175,751,2700,1279
96,133481469,758,2752,1299
97,137004103,766,2805,1319
98,140584390,773,2859,1339
99,144223570,781,2914,1360
100,147921964,788,2970,1381
101,151678962,796,3027,1402
102,155495818,804,3086,1424
103,159373794,812,3145,1446
104,163312283,820,3206,1468
105,167311613,828,3267,1491
106,171373058,836,3330,1514
107,175496956,844,3394,1538
108,179682694,852,3460,1561
109,183932513,861,3526,1586
110,188245804,869,3594,1610
111,192622909,878,3663,1635
112,197064172,886,3734,1660
113,201570905,895,3805,1686
114,206143460,904,3879,1712
115,210782191,913,3953,1739
116,215487455,921,4029,1765
117,220259609,930,4107,1793
118,225099012,940,4186,1821
119,230007007,949,4267,1849
120,234982977,958,4349,1877
121,240028274,968,4432,1906
122,245143270,977,4518,1936
123,250328337,987,4605,1966
124,255583850,996,4693,1996
125,260910184,1006,4784,2027
126,266308722,1016,4876,2059
127,271778841,1026,4969,2090
128,277321933,1036,5065,2123
129,282938386,1046,5163,2156
130,288628590,1056,5262,2189
131,294392938,1067,5363,2223
132,300231823,1077,5466,2257
133,306145640,1088,5572,2292
134,312135815,1098,5679,2328
135,318201721,1109,5788,2364
136,324344793,1120,5899,2400
137,330565440,1131,6013,2438
138,336864072,1142,6129,2475
139,343241100,1153,6247,2514
140,349696939,1165,6367,2553
141,356232004,1176,6489,2592
142,362847765,1188,6614,2632
143,369543591,1199,6742,2673
144,376320963,1211,6871,2714
145,383180310,1223,7004,2756
146,390122063,1235,7138,2799
147,397146654,1247,7276,2843
148,404254518,1259,7416,2887
149,411446092,1272,7559,2931
150,418722892,1284,7704,2977
151,426084283,1297,7852,3023
152,433531792,1309,8003,3070
153,441064782,1322,8157,3117
154,448684790,1335,8314,3165
155,456392270,1348,8474,3215
156,464187679,1361,8637,3264
157,472071474,1375,8804,3315
158,480045221,1388,8973,3366
159,488108281,1402,9146,3418
160,496262229,1416,9322,3471
161,504506423,1429,9501,3525
162,512842449,1443,9684,3580
163,521270784,1458,9870,3635
164,529791907,1472,10060,3692
165,538406299,1486,10254,3749
166,547114443,1501,10451,3807
167,555917959,1516,10652,3866
168,564816202,1531,10857,3926
169,573810803,1546,11066,3987
170,582901115,1561,11279,4048
171,592088780,1576,11496,4111
172,601374301,1591,11718,4175
173,610758182,1607,11943,4239
174,620240929,1623,12173,4305
175,629823051,1639,12407,4372
176,639505060,1655,12646,4440
177,649288638,1671,12889,4508
178,659173134,1687,13138,4578
179,669160242,1704,13390,4649
180,679249308,1721,13648,4721
181,689442039,1738,13911,4794
182,699738965,1755,14178,4869
183,710140620,1772,14451,4944
184,720647540,1789,14729,5021
185,731260262,1807,15013,5099
186,741980529,1824,15302,5178
187,752807685,1842,15596,5258
188,763742275,1860,15896,5339
189,774786058,1879,16202,5422
190,785939592,1897,16514,5506
191,797203435,1916,16832,5592
192,808576926,1934,17156,5678
193,820061848,1953,17486,5766
194,831658767,1973,17823,5856
195,843369487,1992,18166,5946
196,855193347,2011,18515,6039
197,867130921,2031,18871,6132
198,879184031,2051,19235,6227
199,891352013,2071,19605,6324
200,903636701,2091,19982,6422
