Level,Exp Required,HP,Attack,Defense
1,100,240,448,300
2,250,242,457,305
3,550,245,465,309
4,1001,247,474,314
5,1604,250,484,319
6,3604,252,493,324
7,7004,254,503,329
8,11856,257,512,334
9,18230,259,522,339
10,48230,262,532,345
11,93430,265,543,350
12,156680,267,553,355
13,240980,270,564,361
14,349480,272,575,366
15,593560,275,586,372
16,859315,278,597,378
17,1147597,281,608,384
18,1459266,283,620,390
19,1794459,286,632,396
20,2154045,289,644,402
21,2538168,292,657,408
22,2947707,295,670,414
23,3382810,297,682,421
24,3843628,300,696,427
25,4331053,303,709,434
26,4845240,306,723,441
27,5387092,309,737,448
28,5956770,312,751,455
29,6555187,315,765,462
30,7182511,318,780,469
31,7838909,322,795,476
32,8525308,325,811,483
33,9241882,328,826,491
34,9988806,331,842,499
35,10766256,334,858,506
36,11575175,338,875,514
37,12416513,341,892,522
38,13289687,344,909,530
39,14195653,348,927,538
40,15134601,351,944,547
41,16107498,355,963,555
42,17113759,358,981,564
43,18154359,362,1000,573
44,19230280,365,1019,582
45,20340937,369,1039,591
46,21487318,372,1059,600
47,22669628,376,1079,609
48,23888867,380,1100,618
49,25144449,383,1122,628
50,26437380,387,1143,638
51,27767873,391,1165,648
52,29136946,395,1188,658
53,30544819,399,1211,668
54,31990903,403,1234,678
55,33477038,406,1258,689
56,35002637,410,1282,699
57,36568740,415,1307,710
58,38174758,419,1332,721
59,39821737,423,1357,733
60,41510732,427,1384,744
61,43241155,431,1410,755
62,45014067,435,1437,767
63,46829708,439,1465,779
64,48688319,444,1493,791
65,50590140,448,1522,803
66,52536254,453,1552,816
67,54526908,457,1581,829
68,56562353,461,1612,841
69,58642839,466,1643,854
70,60768619,471,1675,868
71,62940796,475,1707,881
72,65159631,480,1740,895
73,67425383,485,1773,909
74,69738314,489,1807,923
75,72098687,494,1842,937
76,74507630,499,1878,952
77,76965413,504,1914,966
78,79472307,509,1951,981
79,82028585,514,1988,997
80,84634521,519,2027,1012
81,87291267,524,2066,1028
82,89998224,529,2106,1044
83,92756553,534,2146,1060
84,95566537,539,2187,1076
85,98428462,545,2230,1093
86,101343504,550,2273,1110
87,104311063,555,2316,1127
88,107332324,561,2361,1145
89,110407582,566,2406,1162
90,113537135,572,2453,1180
91,116721280,578,2500,1199
92,119961223,583,2548,1217
93,123256361,589,2597,1236
94,126607909,595,2647,1255
95,130016175,601,2698,1275
96,133481469,606,2750,1295
97,137004103,612,2803,1315
98,140584390,618,2857,1335
99,144223570,624,2912,1356
100,147921964,631,2968,1377
101,151678962,637,3025,1398
102,155495818,643,3084,1420
103,159373794,649,3143,1442
104,163312283,656,3204,1464
105,167311613,662,3265,1487
106,171373058,669,3328,1510
107,175496956,675,3392,1534
108,179682694,682,3458,1557
109,183932513,688,3524,1582
110,188245804,695,3592,1606
111,192622909,702,3661,1631
112,197064172,709,3732,1656
113,201570905,716,3803,1682
114,206143460,723,3877,1708
115,210782191,730,3951,1735
116,215487455,737,4027,1761
117,220259609,744,4105,1789
118,225099012,752,4184,1817
119,230007007,759,4265,1845
120,234982977,767,4347,1873
121,240028274,774,4430,1902
122,245143270,782,4516,1932
123,250328337,789,4603,1962
124,255583850,797,4691,1992
125,260910184,805,4782,2023
126,266308722,813,4874,2055
127,271778841,821,4967,2086
128,277321933,829,5063,2119
129,282938386,837,5161,2152
130,288628590,845,5260,2185
131,294392938,853,5361,2219
132,300231823,862,5464,2253
133,306145640,870,5570,2288
134,312135815,879,5677,2324
135,318201721,887,5786,2360
136,324344793,896,5897,2396
137,330565440,905,6011,2434
138,336864072,914,6127,2471
139,343241100,923,6245,2510
140,349696939,932,6365,2549
141,356232004,941,6487,2588
142,362847765,950,6612,2628
143,369543591,959,6740,2669
144,376320963,969,6869,2710
145,383180310,978,7002,2752
146,390122063,988,7136,2795
147,397146654,998,7274,2839
148,404254518,1007,7414,2883
149,411446092,1017,7557,2927
150,418722892,1027,7702,2973
151,426084283,1037,7850,3019
152,433531792,1047,8001,3066
153,441064782,1058,8155,3113
154,448684790,1068,8312,3161
155,456392270,1079,8472,3211
156,464187679,1089,8635,3260
157,472071474,1100,8802,3311
158,480045221,1111,8971,3362
159,488108281,1121,9144,3414
160,496262229,1132,9320,3467
161,504506423,1144,9499,3521
162,512842449,1155,9682,3576
163,521270784,1166,9868,3631
164,529791907,1178,10058,3688
165,538406299,1189,10252,3745
166,547114443,1201,10449,3803
167,555917959,1213,10650,3862
168,564816202,1224,10855,3922
169,573810803,1236,11064,3983
170,582901115,1249,11277,4044
171,592088780,1261,11494,4107
172,601374301,1273,11716,4171
173,610758182,1286,11941,4235
174,620240929,1298,12171,4301
175,629823051,1311,12405,4368
176,639505060,1324,12644,4436
177,649288638,1337,12887,4504
178,659173134,1350,13136,4574
179,669160242,1363,13388,4645
180,679249308,1377,13646,4717
181,689442039,1390,13909,4790
182,699738965,1404,14176,4865
183,710140620,1417,14449,4940
184,720647540,1431,14727,5017
185,731260262,1445,15011,5095
186,741980529,1460,15300,5174
187,752807685,1474,15594,5254
188,763742275,1488,15894,5335
189,774786058,1503,16200,5418
190,785939592,1518,16512,5502
191,797203435,1533,16830,5588
192,808576926,1548,17154,5674
193,820061848,1563,17484,5762
194,831658767,1578,17821,5852
195,843369487,1594,18164,5942
196,855193347,1609,18513,6035
197,867130921,1625,18869,6128
198,879184031,1641,19233,6223
199,891352013,1657,19603,6320
200,903636701,1673,19980,6418
