Level,Exp Required,HP,Attack,Defense
1,100,260,446,303
2,250,263,455,308
3,550,265,463,312
4,1001,268,472,317
5,1604,270,482,322
6,3604,273,491,327
7,7004,276,501,332
8,11856,278,510,337
9,18230,281,520,342
10,48230,284,530,348
11,93430,287,541,353
12,156680,289,551,358
13,240980,292,562,364
14,349480,295,573,369
15,593560,298,584,375
16,859315,301,595,381
17,1147597,304,606,387
18,1459266,307,618,393
19,1794459,310,630,399
20,2154045,313,642,405
21,2538168,316,655,411
22,2947707,319,668,417
23,3382810,322,680,424
24,3843628,325,694,430
25,4331053,329,707,437
26,4845240,332,721,444
27,5387092,335,735,451
28,5956770,338,749,458
29,6555187,342,763,465
30,7182511,345,778,472
31,7838909,348,793,479
32,8525308,352,809,486
33,9241882,355,824,494
34,9988806,359,840,502
35,10766256,362,856,509
36,11575175,366,873,517
37,12416513,369,890,525
38,13289687,373,907,533
39,14195653,377,925,541
40,15134601,380,942,550
41,16107498,384,961,558
42,17113759,388,979,567
43,18154359,392,998,576
44,19230280,396,1017,585
45,20340937,399,1037,594
46,21487318,403,1057,603
47,22669628,407,1077,612
48,23888867,411,1098,621
49,25144449,415,1120,631
50,26437380,419,1141,641
51,27767873,424,1163,651
52,29136946,428,1186,661
53,30544819,432,1209,671
54,31990903,436,1232,681
55,33477038,440,1256,692
56,35002637,445,1280,702
57,36568740,449,1305,713
58,38174758,453,1330,724
59,39821737,458,1355,736
60,41510732,462,1382,747
61,43241155,467,1408,758
62,45014067,472,1435,770
63,46829708,476,1463,782
64,48688319,481,1491,794
65,50590140,486,1520,806
66,52536254,490,1550,819
67,54526908,495,1579,832
68,56562353,500,1610,844
69,58642839,505,1641,857
70,60768619,510,1673,871
71,62940796,515,1705,884
72,65159631,520,1738,898
73,67425383,525,1771,912
74,69738314,530,1805,926
75,72098687,535,1840,940
76,74507630,541,1876,955
77,76965413,546,1912,969
78,79472307,551,1949,984
79,82028585,557,1986,1000
80,84634521,562,2025,1015
81,87291267,568,2064,1031
82,89998224,573,2104,1047
83,92756553,579,2144,1063
84,95566537,584,2185,1079
85,98428462,590,2228,1096
86,101343504,596,2271,1113
87,104311063,602,2314,1130
88,107332324,608,2359,1148
89,110407582,614,2404,1165
90,113537135,620,2451,1183
91,116721280,626,2498,1202
92,119961223,632,2546,1220
93,123256361,638,2595,1239
94,126607909,644,2645,1258
95,130016175,651,2696,1278
96,133481469,657,2748,1298
97,137004103,663,2801,1318
98,140584390,670,2855,1338
99,144223570,677,2910,1359
100,147921964,683,2966,1380
101,151678962,690,3023,1401
102,155495818,697,3082,1423
103,159373794,703,3141,1445
104,163312283,710,3202,1467
105,167311613,717,3263,1490
106,171373058,724,3326,1513
107,175496956,731,3390,1537
108,179682694,739,3456,1560
109,183932513,746,3522,1585
110,188245804,753,3590,1609
111,192622909,761,3659,1634
112,197064172,768,3730,1659
113,201570905,776,3801,1685
114,206143460,783,3875,1711
115,210782191,791,3949,1738
116,215487455,799,4025,1764
117,220259609,806,4103,1792
118,225099012,814,4182,1820
119,230007007,822,4263,1848
120,234982977,830,4345,1876
121,240028274,839,4428,1905
122,245143270,847,4514,1935
123,250328337,855,4601,1965
124,255583850,863,4689,1995
125,260910184,872,4780,2026
126,266308722,880,4872,2058
127,271778841,889,4965,2089
128,277321933,898,5061,2122
129,282938386,907,5159,2155
130,288628590,915,5258,2188
131,294392938,924,5359,2222
132,300231823,934,5462,2256
133,306145640,943,5568,2291
134,312135815,952,5675,2327
135,318201721,961,5784,2363
136,324344793,971,5895,2399
137,330565440,980,6009,2437
138,336864072,990,6125,2474
139,343241100,1000,6243,2513
140,349696939,1009,6363,2552
141,356232004,1019,6485,2591
142,362847765,1029,6610,2631
143,369543591,1039,6738,2672
144,376320963,1050,6867,2713
145,383180310,1060,7000,2755
146,390122063,1070,7134,2798
147,397146654,1081,7272,2842
148,404254518,1091,7412,2886
149,411446092,1102,7555,2930
150,418722892,1113,7700,2976
151,426084283,1124,7848,3022
152,433531792,1135,7999,3069
153,441064782,1146,8153,3116
154,448684790,1157,8310,3164
155,456392270,1168,8470,3214
156,464187679,1180,8633,3263
157,472071474,1191,8800,3314
158,480045221,1203,8969,3365
159,488108281,1215,9142,3417
160,496262229,1227,9318,3470
161,504506423,1239,9497,3524
162,512842449,1251,9680,3579
163,521270784,1263,9866,3634
164,529791907,1276,10056,3691
165,538406299,1288,10250,3748
166,547114443,1301,10447,3806
167,555917959,1314,10648,3865
168,564816202,1326,10853,3925
169,573810803,1339,11062,3986
170,582901115,1353,11275,4047
171,592088780,1366,11492,4110
172,601374301,1379,11714,4174
173,610758182,1393,11939,4238
174,620240929,1406,12169,4304
175,629823051,1420,12403,4371
176,639505060,1434,12642,4439
177,649288638,1448,12885,4507
178,659173134,1462,13134,4577
179,669160242,1477,13386,4648
180,679249308,1491,13644,4720
181,689442039,1506,13907,4793
182,699738965,1521,14174,4868
183,710140620,1536,14447,4943
184,720647540,1551,14725,5020
185,731260262,1566,15009,5098
186,741980529,1581,15298,5177
187,752807685,1597,15592,5257
188,763742275,1612,15892,5338
189,774786058,1628,16198,5421
190,785939592,1644,16510,5505
191,797203435,1660,16828,5591
192,808576926,1677,17152,5677
193,820061848,1693,17482,5765
194,831658767,1710,17819,5855
195,843369487,1726,18162,5945
196,855193347,1743,18511,6038
197,867130921,1760,18867,6131
198,879184031,1778,19231,6226
199,891352013,1795,19601,6323
200,903636701,1813,19978,6421
